Section,Description,91-Day,182-Day,364-Day,Release_Title,Release_Date,Release_URL
,Auction Results,91-Day,182-Day,364-Day,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
I.,Notified Amount,"7,000","6,000","6,000",Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
II.,Competitive Bids Received,,,,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(i) Number,96,80,101,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(ii) Amount,"26,801.000","19,922.000","23,048.000",Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
III.,Cut-off price / Yield,98.6598,97.2883,94.7219,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
IV.,Competitive Bids Accepted,,,,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(i) Number,20,17,34,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(ii) Amount,"6,969.315","5,985.505","5,956.792",Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
V.,Partial Allotment Percentage of Competitive Bids,85.2772%,99.7010%,4.4217%,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
VI.,Weighted Average Price/Yield,98.6606,97.2920,94.7296,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
VII.,Non-Competitive Bids Received,,,,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(i) Number,8,3,3,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(ii) Amount,"5,719.205","1,014.495",739.928,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
VIII.,Non-Competitive Bids Accepted,,,,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(i) Number,8,3,3,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(ii) Amount,"5,719.205","1,014.495",739.928,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
,(iii) Partial Allotment Percentage,-,-,-,Treasury Bills: Full Auction Result,,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61572
I.,T-Bill,91-Day,182-Day,364-Day,"91-Day, 182-Day and 364-Day T-Bill Auction Result: Cut-off",,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61571
II.,Total Face Value Notified,"₹7,000 Crore","₹6,000 Crore","₹6,000 Crore","91-Day, 182-Day and 364-Day T-Bill Auction Result: Cut-off",,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61571
III.,Cut-off Price and Implicit Yield at Cut-Off Price,98.6598(YTM: 5.4485%),97.2883(YTM: 5.5899%),94.7219(YTM: 5.5875%),"91-Day, 182-Day and 364-Day T-Bill Auction Result: Cut-off",,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61571
IV.,Total Face Value Accepted,"₹7,000 Crore","₹6,000 Crore","₹6,000 Crore","91-Day, 182-Day and 364-Day T-Bill Auction Result: Cut-off",,https://rbi.org.in/Scripts/BS_PressReleaseDisplay.aspx?prid=61571
